NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	59	0.6017285	1.798327	0.0	8.571428E-4	0.001	1891	tags=56%, list=26%, signal=75%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	144	0.51576674	1.6656907	0.0	0.007798475	0.018	1902	tags=45%, list=26%, signal=60%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	86	0.49496475	1.5512917	0.0010214505	0.030050587	0.096	1960	tags=41%, list=27%, signal=55%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	175	0.46749157	1.5312419	0.0	0.028759206	0.12	1254	tags=32%, list=17%, signal=38%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	82	0.47633004	1.4897327	0.0041194647	0.04382329	0.217	704	tags=24%, list=10%, signal=27%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	111	0.46346024	1.4827728	0.003058104	0.039838612	0.238	1824	tags=38%, list=25%, signal=50%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	79	0.4345205	1.3498948	0.038894575	0.17210011	0.771	1480	tags=28%, list=20%, signal=35%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	147	0.41251582	1.3361918	0.009118541	0.17586839	0.809	1616	tags=24%, list=22%, signal=31%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	157	0.40642682	1.3219653	0.016064256	0.18496504	0.858	1360	tags=28%, list=19%, signal=34%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	146	0.40827227	1.318234	0.021084337	0.17531146	0.877	1604	tags=34%, list=22%, signal=43%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	160	0.39368945	1.2784504	0.035105314	0.2449361	0.965	1614	tags=33%, list=22%, signal=41%	
