NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	186	0.50689214	1.6970927	0.0	0.005573469	0.006	907	tags=28%, list=12%, signal=32%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	175	0.48013106	1.6056857	0.0	0.016251342	0.035	1787	tags=41%, list=24%, signal=52%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	144	0.45393175	1.4976496	0.0030272452	0.06552782	0.188	1703	tags=40%, list=23%, signal=51%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	172	0.45000157	1.4881471	0.0	0.05520377	0.21	2397	tags=49%, list=33%, signal=72%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	133	0.4497849	1.473429	0.0010162601	0.055145334	0.259	2028	tags=43%, list=28%, signal=58%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	42	0.4621825	1.3605506	0.05952381	0.19205388	0.731	462	tags=19%, list=6%, signal=20%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	34	0.46581987	1.3317946	0.091008775	0.22489022	0.834	1452	tags=35%, list=20%, signal=44%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	150	0.40318906	1.3244777	0.01711984	0.21432552	0.858	1391	tags=29%, list=19%, signal=35%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	33	0.47765177	1.3212492	0.08165548	0.19896615	0.866	2637	tags=70%, list=36%, signal=108%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	82	0.41213918	1.3147296	0.054639176	0.19114646	0.889	1534	tags=33%, list=21%, signal=41%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	160	0.39812362	1.3144517	0.016032064	0.17411067	0.889	2256	tags=42%, list=31%, signal=59%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	137	0.39594904	1.3100882	0.024266936	0.16813299	0.9	2325	tags=48%, list=32%, signal=69%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	162	0.3858883	1.2783005	0.03531786	0.21884723	0.967	1203	tags=23%, list=16%, signal=27%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	144	0.37742192	1.2438389	0.067608476	0.29365203	0.99	1610	tags=34%, list=22%, signal=43%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	67	0.37658498	1.1815147	0.20483193	0.4830977	1.0	2200	tags=39%, list=30%, signal=55%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	82	0.37120175	1.1775557	0.18827161	0.4691412	1.0	1909	tags=35%, list=26%, signal=47%	
