NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	33	-0.48817882	-1.75535	0.0	0.045707863	0.009	1459	tags=61%, list=20%, signal=75%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	170	-0.34383652	-1.66625	0.0	0.045472976	0.017	782	tags=29%, list=11%, signal=32%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	160	-0.28370377	-1.4489958	0.0	0.13298969	0.068	804	tags=26%, list=11%, signal=28%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	67	-0.3055539	-1.2772374	0.04347826	0.3372658	0.209	645	tags=19%, list=9%, signal=21%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	152	-0.27337277	-1.2567172	0.0	0.316922	0.241	1129	tags=30%, list=15%, signal=35%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	109	-0.27232298	-1.2532862	0.01923077	0.26859576	0.244	654	tags=18%, list=9%, signal=20%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	33	-0.33119166	-1.2088252	0.1863354	0.31182143	0.311	461	tags=9%, list=6%, signal=10%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	54	-0.289774	-1.1706349	0.18348624	0.35414284	0.386	550	tags=22%, list=7%, signal=24%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	150	-0.23537642	-1.1309783	0.15384616	0.4119305	0.477	1103	tags=27%, list=15%, signal=31%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	156	-0.23184139	-1.1162868	0.10344828	0.40130964	0.504	1516	tags=31%, list=21%, signal=38%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	169	-0.22143097	-1.1060528	0.22222222	0.39207518	0.534	1254	tags=27%, list=17%, signal=31%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	172	-0.23188187	-1.0748099	0.25	0.44743583	0.61	934	tags=24%, list=13%, signal=27%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	133	-0.23086934	-1.0696735	0.26666668	0.4269848	0.618	971	tags=25%, list=13%, signal=28%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	19	-0.346829	-1.0629255	0.37019232	0.4152446	0.631	368	tags=21%, list=5%, signal=22%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	31	-0.2843099	-1.0456051	0.41618496	0.4290751	0.675	1293	tags=39%, list=18%, signal=47%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	154	-0.20827453	-1.0140882	0.4375	0.49319264	0.742	693	tags=17%, list=9%, signal=18%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	28	-0.27860078	-0.9960168	0.47058824	0.5093103	0.773	894	tags=25%, list=12%, signal=28%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	42	-0.250955	-0.97853684	0.4765625	0.53020847	0.802	817	tags=21%, list=11%, signal=24%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	34	-0.2281025	-0.8813328	0.6967742	0.7398361	0.91	655	tags=15%, list=9%, signal=16%	
