NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	170	-0.24188527	-1.2002854	0.0	0.703036	0.202	612	tags=21%, list=8%, signal=22%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	136	-0.22339135	-1.1089258	0.33333334	0.62826	0.338	578	tags=16%, list=8%, signal=17%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	169	-0.18679205	-0.9444834	1.0	0.98757094	0.633	746	tags=18%, list=10%, signal=20%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	81	-0.19444875	-0.870986	0.8	0.9279747	0.711	588	tags=16%, list=8%, signal=17%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	33	-0.1779323	-0.6870679	0.954955	0.9570701	0.801	224	tags=6%, list=3%, signal=6%	
