NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	42	-0.3580608	-1.4624727	0.025974026	0.21160862	0.042	1169	tags=40%, list=16%, signal=48%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	109	-0.27941558	-1.3382914	0.0	0.25605306	0.094	690	tags=21%, list=9%, signal=23%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	152	-0.27403748	-1.2665181	0.0	0.23510225	0.132	979	tags=29%, list=13%, signal=33%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	170	-0.2570532	-1.1763195	0.0	0.33329195	0.231	634	tags=24%, list=9%, signal=25%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	31	-0.27275333	-1.0597962	0.36363637	0.5245106	0.407	424	tags=19%, list=6%, signal=20%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	72	-0.22585754	-1.0433075	0.36585367	0.48562738	0.436	566	tags=18%, list=8%, signal=19%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	126	-0.19578004	-0.9692617	0.5	0.6048091	0.577	932	tags=22%, list=13%, signal=25%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	33	-0.23033474	-0.88125247	0.6666667	0.7228854	0.688	591	tags=15%, list=8%, signal=16%	
