ID	daaset	HPVpos_Clusters
HNSCC50	metanalysis	Cl1
HNSCC6	metanalysis	Cl3
HNSCC7	metanalysis	Cl3
HNSCC9	metanalysis	Cl3
NO302	metanalysis	Cl2
NO303	metanalysis	Cl3
NO305	metanalysis	Cl1
NO306	metanalysis	Cl1
NO307	metanalysis	Cl3
NO312	metanalysis	Cl1
SS_153	BD2	Cl2
SS_INT_0003	BD2	Cl3
SS_INT_0004	BD2	Cl3
SS_INT_0010	BD2	Cl1
SS_INT_0012	BD2	Cl3
SS_INT_0019	BD2	Cl2
SS_INT_0021	BD2	Cl1
SS_INT_0023	BD2	Cl1
SS_INT_0025	BD2	Cl3
SS_INT_0028	BD2	Cl1
SS_INT_0029	BD2	Cl3
SS_INT_0030	BD2	Cl1
SS_INT_0033	BD2	Cl3
SS_INT_0046	BD2	Cl1
SS_INT_0054	BD2	Cl3
SS_INT_0063	BD2	Cl3
SS_INT_0074	BD2	Cl3
SS_INT_0078	BD2	Cl1
SS_INT_0081	BD2	Cl1
SS_INT_0082	BD2	Cl1
SS_INT_0102	BD2	Cl1
SS_INT_0109	BD2	Cl3
SS_INT_0115	BD2	Cl1
SS_INT_0133	BD2	Cl2
SS_INT_0149	BD2	Cl1
SS_INT_0150	BD2	Cl1
SS_INT_0154	BD2	Cl1
SS_INT_0161	BD2	Cl3
SS_INT_0163	BD2	Cl3
SS_INT_0169	BD2	Cl1
SS_INT_0170	BD2	Cl3
SS_INT_0175	BD2	Cl1
SS_INT_0177	BD2	Cl3
SS_INT_0187	BD2	Cl1
SS_INT_0196	BD2	Cl1
SS_INT_0213	BD2	Cl3
SS_INT_0220	BD2	Cl1
SS_INT_0226	BD2	Cl3
SS_INT_0232	BD2	Cl3
SS_INT_0239	BD2	Cl3
SS_INT_0242	BD2	Cl1
SS_INT_0245	BD2	Cl3
SS_INT_0249	BD2	Cl2
SS_INT_0250	BD2	Cl1
SS_INT_0256	BD2	Cl3
SS_INT_0257	BD2	Cl3
