NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	155	0.4414021	2.1795883	0.0	0.0	0.0	1224	tags=35%, list=16%, signal=41%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	170	0.31768644	1.5975448	0.0	0.033258848	0.06	1256	tags=31%, list=16%, signal=36%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	155	0.312417	1.5522681	0.0	0.033070933	0.087	1125	tags=25%, list=15%, signal=29%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	25	0.44205308	1.5369935	0.030674847	0.026768783	0.092	1167	tags=48%, list=15%, signal=56%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	21	0.436645	1.4383851	0.042979944	0.048859186	0.201	796	tags=29%, list=10%, signal=32%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	114	0.3043195	1.4356478	0.004901961	0.041264467	0.204	670	tags=18%, list=9%, signal=20%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	126	0.22676577	1.0697509	0.26865673	0.5130754	0.968	965	tags=19%, list=12%, signal=21%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	43	0.26841766	1.0690761	0.340694	0.4500212	0.968	2249	tags=40%, list=29%, signal=55%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	31	0.28550562	1.0565412	0.33536586	0.43492118	0.98	662	tags=19%, list=9%, signal=21%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	147	0.20376791	1.0038772	0.46927375	0.53128964	0.996	1311	tags=23%, list=17%, signal=27%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	43	0.24327303	0.93248016	0.5681818	0.68271744	0.999	1312	tags=28%, list=17%, signal=33%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	120	0.18121214	0.8589696	0.80861247	0.8031748	1.0	1574	tags=24%, list=20%, signal=30%	
