NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	167	-0.38107976	-1.7356207	0.0	0.027748784	0.03	2476	tags=47%, list=32%, signal=67%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	145	-0.31398514	-1.3954829	0.016	0.34638637	0.535	537	tags=14%, list=7%, signal=15%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	154	-0.30590987	-1.3840353	0.020920502	0.2535485	0.571	913	tags=23%, list=12%, signal=25%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	81	-0.30426458	-1.2487539	0.1010101	0.5527073	0.899	910	tags=20%, list=12%, signal=22%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	114	-0.27607974	-1.2041541	0.126	0.616297	0.963	1479	tags=30%, list=19%, signal=36%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	59	-0.30245712	-1.1624608	0.19444445	0.68768543	0.987	981	tags=20%, list=13%, signal=23%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	131	-0.25865874	-1.1377738	0.19348268	0.6892212	0.994	1132	tags=24%, list=15%, signal=28%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	147	-0.2483355	-1.1354746	0.18939394	0.6109431	0.994	1112	tags=20%, list=14%, signal=23%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	156	-0.24977359	-1.1284078	0.1910569	0.568569	0.994	718	tags=15%, list=9%, signal=17%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	66	-0.27342856	-1.0629361	0.33663365	0.7519757	1.0	618	tags=15%, list=8%, signal=16%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	142	-0.23677303	-1.0384442	0.37	0.7804532	1.0	848	tags=17%, list=11%, signal=19%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	151	-0.22103754	-1.0032183	0.4265873	0.84940416	1.0	1837	tags=28%, list=24%, signal=36%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	142	-0.21961053	-0.99501216	0.43737957	0.81267387	1.0	2476	tags=38%, list=32%, signal=55%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	159	-0.21340638	-0.97262466	0.5154639	0.8380802	1.0	1538	tags=25%, list=20%, signal=31%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	139	-0.21507595	-0.94610083	0.5915493	0.87869996	1.0	1694	tags=28%, list=22%, signal=35%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	43	-0.25290218	-0.928548	0.6155462	0.88464785	1.0	1664	tags=28%, list=21%, signal=35%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	116	-0.2027328	-0.8735523	0.75	1.0	1.0	1629	tags=28%, list=21%, signal=34%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	69	-0.21304332	-0.856498	0.7348643	1.0	1.0	1433	tags=26%, list=18%, signal=32%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	159	-0.18376772	-0.83766556	0.8588957	0.98970884	1.0	841	tags=13%, list=11%, signal=14%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	31	-0.2450672	-0.81545395	0.75247526	0.9867081	1.0	1587	tags=26%, list=20%, signal=32%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		43	-0.21881303	-0.80720544	0.80851066	0.95503646	1.0	1528	tags=23%, list=20%, signal=29%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		141	-0.17123353	-0.7622516	0.96303904	0.9704585	1.0	1553	tags=22%, list=20%, signal=27%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		120	-0.16454645	-0.6985022	0.98585856	0.97243947	1.0	1885	tags=23%, list=24%, signal=30%	
