NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	70	-0.3308481	-1.2350729	0.15667576	0.39822456	0.991	1437	tags=27%, list=19%, signal=33%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	142	-0.29826793	-1.2202202	0.13075061	0.40557382	0.996	2046	tags=37%, list=26%, signal=50%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	159	-0.2876652	-1.2093029	0.12195122	0.40548924	0.997	2008	tags=33%, list=26%, signal=44%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	167	-0.27203506	-1.1485223	0.1923077	0.5504048	1.0	2225	tags=33%, list=29%, signal=45%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	173	-0.27240703	-1.1436094	0.20408164	0.5312707	1.0	2066	tags=32%, list=27%, signal=43%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	152	-0.25196826	-1.0469712	0.3715651	0.8227933	1.0	1626	tags=29%, list=21%, signal=36%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	81	-0.27267468	-1.0419668	0.39703903	0.796312	1.0	1247	tags=21%, list=16%, signal=25%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	85	-0.26688194	-1.0388664	0.38101432	0.76613265	1.0	1422	tags=22%, list=18%, signal=27%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	131	-0.2547732	-1.0379444	0.38765433	0.73060024	1.0	805	tags=15%, list=10%, signal=17%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		139	-0.24087861	-0.9913933	0.48913044	0.8467663	1.0	1243	tags=17%, list=16%, signal=19%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		139	-0.23861383	-0.9844704	0.49127182	0.8315119	1.0	1595	tags=24%, list=21%, signal=30%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		147	-0.23577587	-0.98261935	0.50769234	0.80090576	1.0	1038	tags=18%, list=13%, signal=20%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		161	-0.23014283	-0.96531874	0.5423729	0.8183052	1.0	1852	tags=25%, list=24%, signal=32%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		159	-0.22248858	-0.94040966	0.5904762	0.8588817	1.0	1777	tags=25%, list=23%, signal=31%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		66	-0.2570475	-0.9403132	0.56343794	0.8260397	1.0	636	tags=15%, list=8%, signal=16%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		69	-0.24488902	-0.92343783	0.59752744	0.8395049	1.0	1572	tags=23%, list=20%, signal=29%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		38	-0.27401653	-0.91422814	0.5911681	0.8335145	1.0	916	tags=16%, list=12%, signal=18%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		156	-0.21861385	-0.9104324	0.6414634	0.8136984	1.0	1935	tags=28%, list=25%, signal=36%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		142	-0.21762668	-0.89760995	0.6970803	0.8181554	1.0	1865	tags=24%, list=24%, signal=31%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		24	-0.28126395	-0.8346414	0.7151424	0.93779147	1.0	1433	tags=25%, list=18%, signal=31%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		54	-0.23279925	-0.82380307	0.76584023	0.9298263	1.0	1740	tags=28%, list=22%, signal=36%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		72	-0.21924292	-0.8126109	0.7917808	0.9228257	1.0	1896	tags=31%, list=24%, signal=40%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		151	-0.1783769	-0.7492406	0.92772514	0.99172837	1.0	1955	tags=25%, list=25%, signal=32%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		116	-0.18566814	-0.7390184	0.93467337	0.97431976	1.0	1929	tags=25%, list=25%, signal=33%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		88	-0.17693189	-0.68131703	0.9684066	0.99381655	1.0	618	tags=9%, list=8%, signal=10%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		90	-0.16120863	-0.6269954	0.99103713	0.9866688	1.0	2652	tags=42%, list=34%, signal=63%	
