NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	145	-0.45563632	-1.8799733	0.0	0.0019527777	0.002	1804	tags=48%, list=23%, signal=61%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	29	-0.52360576	-1.6513854	0.014771049	0.050833143	0.103	1504	tags=45%, list=19%, signal=55%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	80	-0.42006162	-1.5927492	0.006830601	0.060287453	0.176	621	tags=18%, list=8%, signal=19%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	138	-0.37984678	-1.5550779	0.0012121212	0.06991683	0.257	1227	tags=31%, list=16%, signal=36%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	151	-0.36504215	-1.5025163	0.0035587188	0.09343403	0.386	1568	tags=32%, list=20%, signal=40%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	59	-0.4005029	-1.4669827	0.033707865	0.107243136	0.492	1935	tags=46%, list=25%, signal=61%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	140	-0.35342434	-1.45903	0.015719468	0.101061665	0.529	905	tags=19%, list=12%, signal=21%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	154	-0.3372277	-1.4141189	0.023370234	0.13888775	0.691	1682	tags=32%, list=22%, signal=41%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	91	-0.35861513	-1.3637172	0.042912874	0.19387923	0.833	681	tags=22%, list=9%, signal=24%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	156	-0.31442854	-1.310387	0.05090909	0.26652518	0.93	1182	tags=24%, list=15%, signal=28%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	141	-0.31338644	-1.2933081	0.0727729	0.2776863	0.95	1738	tags=32%, list=22%, signal=40%	
