NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	152	0.46709538	2.017192	0.0	0.0	0.0	1642	tags=39%, list=21%, signal=49%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	145	0.46965182	1.9838268	0.0	0.0	0.0	1642	tags=41%, list=21%, signal=52%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	155	0.44451365	1.9059396	0.0	5.733006E-4	0.002	1779	tags=41%, list=23%, signal=52%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	138	0.39181346	1.6588156	0.0	0.017012483	0.077	727	tags=22%, list=9%, signal=24%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	66	0.4245089	1.595653	0.007633588	0.02791982	0.148	1951	tags=41%, list=25%, signal=54%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	141	0.37645835	1.5916823	0.003984064	0.024004292	0.152	1421	tags=29%, list=18%, signal=35%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	156	0.34970757	1.5049363	0.0013262599	0.046823937	0.316	2044	tags=35%, list=26%, signal=47%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	170	0.34320822	1.4969403	0.005284016	0.044932645	0.339	1642	tags=29%, list=21%, signal=37%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	80	0.37176183	1.4478774	0.02112676	0.06346376	0.485	1248	tags=31%, list=16%, signal=37%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	139	0.33316618	1.4096751	0.010666667	0.08118841	0.618	1610	tags=31%, list=21%, signal=38%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	29	0.40342814	1.3010001	0.1296875	0.1921524	0.916	1525	tags=38%, list=20%, signal=47%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	126	0.30009001	1.251975	0.10960758	0.257501	0.976	1537	tags=32%, list=20%, signal=39%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	151	0.27755198	1.1972132	0.12813738	0.34974462	0.996	1791	tags=32%, list=23%, signal=41%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	91	0.3005449	1.1922809	0.18695652	0.33639944	0.996	511	tags=13%, list=7%, signal=14%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	59	0.3051969	1.1290715	0.2609929	0.47797856	0.999	1626	tags=32%, list=21%, signal=40%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	154	0.2561401	1.0936146	0.26520053	0.5490254	1.0	1285	tags=24%, list=17%, signal=28%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	31	0.3365074	1.0931793	0.31198686	0.5177511	1.0	1092	tags=23%, list=14%, signal=26%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	142	0.25301746	1.0612687	0.32	0.57733715	1.0	1835	tags=32%, list=24%, signal=41%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	21	0.3544166	1.0528699	0.3754153	0.56833875	1.0	1092	tags=24%, list=14%, signal=28%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	70	0.27241665	1.0267828	0.43085882	0.6133439	1.0	1128	tags=21%, list=15%, signal=25%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		151	0.2371118	1.017509	0.40871936	0.6094484	1.0	1697	tags=26%, list=22%, signal=32%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		140	0.2277931	0.9604072	0.57414967	0.73672444	1.0	1004	tags=16%, list=13%, signal=19%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		159	0.21980347	0.94946706	0.5653846	0.73442227	1.0	1491	tags=23%, list=19%, signal=28%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		131	0.21895847	0.91102463	0.63873625	0.8093133	1.0	1212	tags=16%, list=16%, signal=19%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		156	0.20679843	0.88255835	0.7590361	0.84788156	1.0	1471	tags=21%, list=19%, signal=25%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		24	0.28537628	0.8577554	0.66611296	0.8717846	1.0	958	tags=21%, list=12%, signal=24%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		120	0.20747878	0.8511076	0.7875	0.8554113	1.0	2232	tags=30%, list=29%, signal=41%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		43	0.20154908	0.7051072	0.92899406	1.0	1.0	2495	tags=40%, list=32%, signal=58%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		25	0.21054769	0.6617803	0.9291598	1.0	1.0	1845	tags=32%, list=24%, signal=42%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		43	0.16638285	0.5752572	0.98447204	0.99590254	1.0	1584	tags=19%, list=20%, signal=23%	
