NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	170	0.43365684	2.0080814	0.0	0.0	0.0	1327	tags=37%, list=17%, signal=44%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	91	0.41515285	1.7060062	0.0	0.02006755	0.039	1158	tags=32%, list=15%, signal=37%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	25	0.47382027	1.5286812	0.03757829	0.07937538	0.201	733	tags=32%, list=9%, signal=35%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	155	0.3155656	1.4226942	0.010351967	0.1438452	0.42	1320	tags=29%, list=17%, signal=34%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	152	0.30916542	1.4100438	0.010309278	0.12898093	0.457	1789	tags=36%, list=23%, signal=46%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	54	0.34631506	1.3182259	0.082474224	0.23088105	0.732	1662	tags=35%, list=21%, signal=44%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	155	0.28790927	1.2975836	0.026266417	0.23205149	0.786	1992	tags=37%, list=26%, signal=49%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	173	0.27561373	1.2740517	0.038934425	0.24998213	0.85	1556	tags=28%, list=20%, signal=35%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	72	0.31406263	1.2349954	0.14455445	0.30327374	0.923	1429	tags=26%, list=18%, signal=32%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	80	0.29514104	1.1980059	0.1328125	0.35326374	0.97	865	tags=23%, list=11%, signal=25%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	151	0.2594643	1.1739388	0.15221988	0.38200685	0.988	1135	tags=20%, list=15%, signal=23%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	147	0.256993	1.1628749	0.17842324	0.37589425	0.992	1674	tags=27%, list=22%, signal=34%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	140	0.24934305	1.1234765	0.19656488	0.44455808	0.997	1350	tags=24%, list=17%, signal=29%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	138	0.25038314	1.120105	0.21516393	0.42201132	0.998	1358	tags=27%, list=18%, signal=32%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	70	0.27494615	1.0806427	0.32277226	0.50674397	0.999	1348	tags=29%, list=17%, signal=34%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	156	0.22503363	1.0243943	0.40667975	0.651841	1.0	1895	tags=30%, list=24%, signal=39%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	139	0.22775461	1.020064	0.41060904	0.62587214	1.0	1935	tags=32%, list=25%, signal=41%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	126	0.23272707	1.0147746	0.4311741	0.60683656	1.0	2139	tags=33%, list=28%, signal=44%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	29	0.29828095	1.0010587	0.4352031	0.6161299	1.0	1201	tags=31%, list=16%, signal=37%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	85	0.20039052	0.83784777	0.7920605	1.0	1.0	2592	tags=44%, list=33%, signal=65%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		90	0.19462633	0.8117262	0.8808594	1.0	1.0	2234	tags=30%, list=29%, signal=42%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		88	0.19647236	0.8016198	0.8819048	1.0	1.0	1575	tags=25%, list=20%, signal=31%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		24	0.24878642	0.7682596	0.8076923	1.0	1.0	2481	tags=50%, list=32%, signal=73%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		21	0.24550536	0.7507855	0.83811474	1.0	1.0	1961	tags=33%, list=25%, signal=45%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		161	0.16488032	0.7466517	0.9705882	0.98295766	1.0	724	tags=11%, list=9%, signal=12%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		38	0.19604549	0.6884283	0.9304175	0.9794342	1.0	639	tags=11%, list=8%, signal=11%	
